slug,url,category,title,part_numbers,indexable,reason
"audi-a3-audi-a3-automotive-lighting-2013-2016-sjc-37dacb","https://www.cowinmotors.com/product/audi-a3-audi-a3-automotive-lighting-2013-2016-sjc-37dacb","Automotive Lighting","Audi A3 Automotive Lighting 2013-2016 (SJC)","SJC","no","noindex: catalog record lacks a specific reference, side, material, size, color, or listed feature"
"audi-a3-audi-a3-automotive-lighting-2013-2020-sjc-46ebdc","https://www.cowinmotors.com/product/audi-a3-audi-a3-automotive-lighting-2013-2020-sjc-46ebdc","Automotive Lighting","Audi A3 Automotive Lighting 2013-2020 (SJC)","SJC","no","noindex: catalog record lacks a specific reference, side, material, size, color, or listed feature"
"audi-a3-audi-a3-automotive-lighting-2017-2020-sjc-0cdc82","https://www.cowinmotors.com/product/audi-a3-audi-a3-automotive-lighting-2017-2020-sjc-0cdc82","Automotive Lighting","Audi A3 Automotive Lighting 2017-2020 (SJC)","SJC","no","noindex: catalog record lacks a specific reference, side, material, size, color, or listed feature"
"audi-a3-audi-a3-led-drl-facelift-conversion-headlight-assembly-2013-2016-7a4cb2","https://www.cowinmotors.com/product/audi-a3-audi-a3-led-drl-facelift-conversion-headlight-assembly-2013-2016-7a4cb2","Automotive Lighting","Audi A3 LED, DRL, facelift conversion Headlight Assembly 2013-2016","","yes","indexable: product has a usable catalog image and distinguishing product data"
"audi-a3-audi-a3-led-sequential-turn-signal-drl-headlight-assembly-2013-2020-1d78f6","https://www.cowinmotors.com/product/audi-a3-audi-a3-led-sequential-turn-signal-drl-headlight-assembly-2013-2020-1d78f6","Automotive Lighting","Audi A3 LED, sequential turn signal, DRL Headlight Assembly 2013-2020","","yes","indexable: product has a usable catalog image and distinguishing product data"
"audi-a3-audi-a3-matrix-sequential-turn-signal-drl-headlight-assembly-2017-2020-81fb64","https://www.cowinmotors.com/product/audi-a3-audi-a3-matrix-sequential-turn-signal-drl-headlight-assembly-2017-2020-81fb64","Automotive Lighting","Audi A3 matrix, sequential turn signal, DRL Headlight Assembly 2017-2020","","yes","indexable: product has a usable catalog image and distinguishing product data"
"audi-a4-audi-a4-automotive-lighting-2009-2012-sjc-35f2bb","https://www.cowinmotors.com/product/audi-a4-audi-a4-automotive-lighting-2009-2012-sjc-35f2bb","Automotive Lighting","Audi A4 Automotive Lighting 2009-2012 (SJC)","SJC","no","noindex: catalog record lacks a specific reference, side, material, size, color, or listed feature"
"audi-a4-audi-a4-automotive-lighting-2013-2016-sjc-10c0c7","https://www.cowinmotors.com/product/audi-a4-audi-a4-automotive-lighting-2013-2016-sjc-10c0c7","Automotive Lighting","Audi A4 Automotive Lighting 2013-2016 (SJC)","SJC","no","noindex: catalog record lacks a specific reference, side, material, size, color, or listed feature"
"audi-a4-audi-a4-drl-rs-style-headlight-assembly-2008-2012-52e5a7","https://www.cowinmotors.com/product/audi-a4-audi-a4-drl-rs-style-headlight-assembly-2008-2012-52e5a7","Automotive Lighting","Audi A4 DRL, RS style Headlight Assembly 2008-2012","","yes","indexable: product has a usable catalog image and distinguishing product data"
"audi-a4-audi-a4-led-drl-headlight-assembly-2017-2019-b83111","https://www.cowinmotors.com/product/audi-a4-audi-a4-led-drl-headlight-assembly-2017-2019-b83111","Automotive Lighting","Audi A4 LED, DRL Headlight Assembly 2017-2019","","yes","indexable: product has a usable catalog image and distinguishing product data"
"audi-a4-audi-a4-led-sequential-turn-signal-drl-headlight-assembly-2020-2024-df1509","https://www.cowinmotors.com/product/audi-a4-audi-a4-led-sequential-turn-signal-drl-headlight-assembly-2020-2024-df1509","Automotive Lighting","Audi A4 LED, sequential turn signal, DRL Headlight Assembly 2020-2024","","yes","indexable: product has a usable catalog image and distinguishing product data"
